,Body,Tag
0,"I am a freelance web developer.  I have built many different websites for all sorts of people.  Once my client signs off on a project as complete I am still willing to offer little updates and things.  I always have that one client though who abuses this offer.  At what point do I say enough is enough and begin to charge for these changes?  Enough of these little changes could add up to a whole new site.
","['contracts', 'changes', 'design']"
1,"I recently started freelancing and found myself in a situation where I wish I would have turned the job down initially.  In my situation the client wanted to change the functionality multiple times, which should have thrown a red flag for me.

When dealing with a prospective client, what are the red flags that would cause you to turn down their business?
","['attracting-clients', 'project', 'difficult-client', 'project-bidding']"
2,"When working through the day, I may work on many different projects.  Web development is one of the freelancing jobs that I'm sure many people bounce around project to project, or maybe that is just me. 

I charge many of my clients per hour, in quarter-hour segments.  What are the standards for tracking your time for clients when you have multiple projects going in one day? 

Let's say you are working the core of your day for Client 1 and you get an email from Client 2 that requires no work but just a simple response.  Do you charge Client 2 for that quarter hour of reading your email or just kind of let it go?  Then how do you manage if they start sending you a bunch of quick emails?
","['time-management', 'time-tracking']"
3,"I have a project where the client initially requested a bunch of work. Not too much work and a decent pay. Now here's where it's not fun anymore.

The client has requested to basically rewrite all of the work I have done because of a change in their opinion. They didn't like the strategy their business was going to take. I gave them a fixed price for the project, sadly. Any suggestions?
",['project-management']
4,"I started a project given by client and it went fine for couple of days. Middle of the way, I got stucked with a technical limitation. I'm unable to proceed and it'll take more time and R&amp;D to complete the task.

Obviously, I can't reach the deadline given. How can I communicate this situation to the client without provoking him or make him upset about the delivery delay.
","['time-management', 'project-management', 'communication', 'project']"
5,"Never have done any consulting or freelancing work I'm curious what the advantages and disadvantages are.  Obviously a consulting company takes a cut on your pay check and may provide some business connections that give your more consulting opportunities.  What other differences are there that need to be considered when deciding between these options?
",['contracts']
6,"I've done freelance work as an independent contractor for years, which works well-enough for sporadic freelance work. But as I get more gigs and an established portfolio, are there benefits to forming an LLC to serve as the agent being hired, rather than myself individually, even though there's only one of me? What other benefits/disadvantages of forming an LLC should I be considering as well?
","['contracts', 'legal']"
7,"I'm a web developer. When I buy a Mac I put it down as an allowable expense and receive a tax break on it. When I buy business cards, they go down as an advertising cost. My broadband is an 'office comms' cost. Etcetera etcetera. 
However when I spend time working on my own website to promote myself, I don't think I'm allowed to charge myself my hourly rate as an expense. 
Is there a way around this (legally, UK law) and if not, would it actually pay me to get someone else to maintain and develop my site just for the tax-break?  
","['legal', 'expenses', 'uk']"
8,"I have done freelance work for several years now, taking the occasional gig while still working a full-time ""day job"". I don't get many gigs, and I think it's due to not actively marketing myself other than word-of-mouth through existing clients and the web traffic through my portfolio site. 

As someone who works full time, how can I market myself as a freelancer in a way that gets results and that doesn't take constant maintenance to keep up?
",['marketing']
9,"I'm considering starting a business in the state of Rhode Island in the USA. I've begun to do the research on options available to me, and it's clear already that there is a dizzying array of options for which legal business entity to choose for my business.

For example,


C corporation
sub-S corporation
Limited Liability Company (two
options here, one where the company income is treated the same as my
own personal income with regard to federal and state income taxes,
and the other where the company income is treated separately from my
own personal income)
Co-op
others?


For anyone that's already been down this road, please offer some specific factors to consider in choosing the right legal business entity in RI for a consulting firm with two options: (1) no anticipated retail sales at all, (2) a small amount of retail sales with most income anticipated to be only from professional services rendered.

For example, my accountant tells me that if I expect to have more than 10 employees then a sub-S corporation is a better solution because I won't be paying as much in taxes. If I recall correctly, with a C corporation, corporate profits are essentially taxed twice, one time for the corporate profit and another time for my personal income. He said this causes most C corporations to try to show a close to zero profit at the end of the year as possible, and that many of them end up re-organizing as sub-S corporations.

Maybe there are other factors to consider as well.
","['legal', 'entity', 'usa']"
10,"I've learned through discussions with various people I've met in Rhode Island that there are many co-ops operating throughout the state that have never filed any kind of paperwork with the state government. For example, I think that the Secretary of State requires one to file articles of incorporation for many (perhaps all?) business entities formed in RI, but I've encountered more than ten different people who claim to be operating a co-op and who have also never filed any forms with the Sec. State.

This seems like an attractive option to me, but I'm skeptical that it is actually permitted by state law. Can anyone speak from experience on the legality (and if it is allowed, also the wisdom) of this choice? In particular, where (if anywhere) does the law elaborate on this type of business entity? I'd like to know specifics such as whether or not there are annual income limits and number of co-op member limits before the state will consider the co-op illegal.
","['legal', 'usa', 'entity']"
11,"I've formed the impression from reading business news articles for several years that Delaware is often the state of choice for any small business to incorporate within. I guess there's something about the state law in Delaware that makes it a particularly attractive state for incorporating. I don't have specifics because this is just a general impression that I've developed from many different sources, but I've been unable to confirm it's accuracy.

But I don't actually intend to move to (or to do a significant fraction of my overall business endeavors in) DE, so in doing some research on this option while planning to remain in RI, I've encountered some RI state laws that seem to make RI-based businesses that incorporate in other states (as described above) subject to additional RI state taxes, thus making the option of foreign incorporation moot in RI.

So although I realize that this question could be interpreted as subjective (and thus, not well-suited to an SE Q/A community), my question is simply: Is there an ideal state in which to incorporate in the USA, and if so, why is it ideal? If someone can address the issues I raised in the second paragraph, I'd also appreciate that. This is perhaps a second question, but I think it's closely enough related that posting it as a separate question might be the wrong thing to do. In particular, if some states are known to make it more difficult (or impossible) to take advantage of foreign incorporation in states that are ideal for incorporating like DE, then I'd appreciate insights on that issue to. My impression as a Rhode Islander is that RI is indeed one such state, but perhaps there are other states that don't create obstacles to foreign incorporation, and if anyone here can list such states in your answer, then that would be a big help too.

I know, I know, this could perhaps be broken up into 2-3 questions, but again, I think they are all pretty closely related, so I'm posting as just one for now. Naturally I welcome suggestions for improving the question.
","['usa', 'foreign-incorporation']"
12,"I already understand the nature of the 24 month rule in regards to a single contract that lasts for more than 2 years. To recap:


From the point at which you know that your contract will be longer than 2 years you cannot claim travel expenses. 
If your contract is longer than 2 years from the outset you cannot claim travel expenses at all
It's fine to claim them up until the point that you know you'll be over the 2 years


What I'm unsure about and have had conflicting stories about, is in cases when you have many contracts during a 2 year period, with different clients, but in a similar geographical area. The majority of my contracts are in London but I don't know how far apart they would need to be to not fall foul of the rule. 

If there is no significant change in duration or cost, HMRC considers the workplace to be the same for the purposes of travel expenses. If that's the case, that would cover most locations in Central London, which can't be right. Can it?
","['legal', 'expenses', 'uk', 'travel', 'hmrc']"
13,"I started working at my current position nearly 6 months ago, and am paid per-hour, per-project at a flat rate. It was originally going to be a 3-month contract-to-hire, but the company lost a major client and was not at the financial place to make me an offer after the three months had ended.

It has since become a contract-to-hire with an undefined length of time. I have learned a lot of new skills during the last 6 months, and feel my pay rate could potentially increase. At what point in time, or in learned skills, is it considered ok to ask for a pay increase. 
","['contracts', 'pay-rate', 'contract-to-hire']"
14,"I am pretty good at estimating my time on a project.  For this question, let's say it is for a simple WordPress website with a custom theme development.  I have quoted and set my contract with my client to be $2500 for the project, as it will take a total of 45 hours of work.

I've now spent 45 hours on the project, but I am not yet done.  What is the process to go to the client and ask for more money because the build is taking longer than expected?  Is it even appropriate to ask the client for some more money to finish the project, or am I just stuck finishing the development and ""working for free"" at that point?  Should I begin putting a clause in my contract with a client to cover myself in this case?
","['contracts', 'overtime', 'fixed-price']"
15,"I have been working on a contract for around 6 months now. I telecommute from my home office, and am very settled with a wife and kids. I constantly am looking for new work, and often hear of opportunities for contracts all over the country. 

Since nearly none of these offer a telecommute option, and most of them are between 3 and 12 month offers, how should I handle such offers? Do you accept, decline, or make some compromise?

Also, (to those of you in similar situations) how do I juggle overtime, travel, and quality family time?
","['contracts', 'overtime', 'travel']"
16,"I am currently working for a company on a contract-to-hire (eventually) plan. Apart from tax forms, I never signed an official contract. Do I maintain all rights to my work? I am by no means planning on walking away and calling it mine - just interested in reusing portions of it on other projects. Would that be acceptable?
","['contracts', 'legal', 'ownership']"
17,"I am currently working full time, but interested in doing freelance work.

I don't want to drop everything and jump right into it not knowing if this is what I want to do.

How can I go about finding my first client while keeping my day job?
","['attracting-clients', 'marketing', 'moonlighting']"
18,"I've been working full time in the field (software) for about 5-6 years. However, I've never done any freelancing work before and am new to this entire process. At my job, pay is easy, since it's usually hourly or salaried, but freelancing is different.  

How do I calculate pay rate in a freelancing gig if I've never freelanced before?
",['pay-rate']
19,"I've got two offers on at present, and I certainly don't have time for both.  How can I turn down the second one without ruining my chance to work with them in the future, should the opportunity arise?
","['contracts', 'negotiation']"
20,"A contract between a client and a freelancer is very important, and it covers things such as boundaries, your pay (hourly or set amount), cancellation terms and limits (hours, deadlines, etc).

Should the requirements of a client also be included in a contract?

And if a client wants to change their requirements, how much flexibility should there be with this? (contract amendment, and so on)
",['contracts']
21,"If my client decides to discontinue a project that I am working on part-way through, or wishes to cancel work, how much should I say my client has to pay?
","['contracts', 'contract-cancellation']"
22,"I have seen multiple types of contracts:


Independent Contractor Agreement
Master Services Agreement
Statement Of Work
Verbal Agreement


Are any/all of these types of contracts applicable for freelance work, and are there clear lines for choosing which specific contract type (or combination) should be used?
",['contracts']
23,"Normally, if you work in single EU country as contractor, you are treated like its tax resident and you are required to register company there. (This at least apply to Germany in Poland, where you are tax resident, if you spend over a half of year each year on their territory).

But say, I'd work as contractor 4 months in Germany, 4 months in Poland and 4 months in Czech Republic.  In none of that countries I'd spend more than the half of that year, so in neither of them I'm tax resident.


Does it mean, that I'm then free to choose in which EU country I'd
register my company?
For example, can I register in country, where the tax regulations are
the most attractive for me, say, in Luxembourg?

","['contracts', 'taxes', 'eu']"
24,"If I'm an EU-citizen and want to work in Switzerland as contractor, what should I do, if I have company registered in EU?


Can I work in Switzerland as contractor and invoice my client company as EU-registered company? Or I'm required to register company in Switzerland?
If registering a company in Switzerland is required, do I need special permission from Swiss government to do that?

","['contracts', 'registration', 'switzerland']"
25,"What languages are required (typically) for IT-Contractor who wants to work in Denmark?

Usually in bigger European countries (such as Germany, France) you are required to know its native language, but in case of smaller only English is required.

How it looks like in case of Denmark?
",['information-technology']
